StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		983	52:27.6				Unclassified	2465					55									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1001	52:27.7				Unclassified	2465					56									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1018	52:27.7				Unclassified	2465					57									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1035	52:27.7				Unclassified	2465					58									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1050	52:27.7				Unclassified	2465					59									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1067	52:27.7				Unclassified	2465					60									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1083	52:27.7				Unclassified	2465					61									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1100	52:27.8				Unclassified	2465					62									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1117	52:27.8				Unclassified	2465					63									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1133	52:27.8				Unclassified	2465					64									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1151	52:27.8				Unclassified	2465					65									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1168	52:27.8				Unclassified	2465					66									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1185	52:27.8				Unclassified	2465					67									4	4
Informative A	ANCAT132	F	ANCAT132	10/23/2012	303824		1200	52:27.9				Unclassified	2465					68									4	4
