"","ParticipantName","Trial","Condition","Age","MCDI_Total","MCDI_Nouns","MCDI_Verbs","KnownVerb","KnownAnimal","Verb","y","N","elog","wts","Proportion","ArcSin"
"33","ANCAT76","UnfamiliarFlamingo","Neutral",18.44,"21","11","0",0,0,"Dance",90,123,0.99380441187486,0.0409004700255628,0.731707317073171,1.02632051661191
"34","ANCAT79","UnfamiliarFlamingo","Neutral",19.53,"21","11","0",0,0,"Dance",101,115,1.94591014905531,0.0788177339901478,0.878260869565217,1.21438712754703
"35","ANCAT90","UnfamiliarFlamingo","Neutral",19.59,"25","14","0",0,0,"Dance",219,277,1.32232547827742,0.0216498257500535,0.790613718411552,1.09551629682591
"36","ANCAT85","UnfamiliarFlamingo","Neutral",21.7,"25","14","0",0,0,"Dance",319,329,3.41538201665411,0.0983679856919294,0.969604863221885,1.39555882100157
"37","ANCAT81","UnfamiliarFlamingo","Neutral",18.84,"25","16","1",0,0,"Dance",207,241,1.79417201563344,0.0338047843548105,0.858921161825726,1.18574723970942
"38","ANCAT58","UnfamiliarFlamingo","Neutral",19.3,"28","22","1",0,0,"Dance",245,329,1.06654541287145,0.015907639282228,0.74468085106383,1.04107700212056
"39","ANCAT77","UnfamiliarFlamingo","Neutral",21.27,"30","17","2",0,0,"Dance",230,330,0.830093134937573,0.0142886435501452,0.696969696969697,0.987854988141488
"40","ANCAT50","UnfamiliarFlamingo","Neutral",19.4,"45","26","3",0,0,"Dance",136,328,-0.343771539102824,0.0125208125208125,0.414634146341463,0.699612047356218
"41","ANCAT23","UnfamiliarFlamingo","Informative",18.25,"7","3","0",1,0,"Dance",57,330,-1.55951667405873,0.021047611477625,0.172727272727273,0.428607547752292
"42","ANCAT26","UnfamiliarFlamingo","Informative",18.31,"10","3","0",1,0,"Dance",120,291,-0.352933513675285,0.0141296589768095,0.412371134020619,0.697314390517449
"43","ANCAT59","UnfamiliarFlamingo","Informative",18.41,"31","23","0",1,0,"Dance",310,325,2.99734387744833,0.0677367409485222,0.953846153846154,1.35427399553919
"44","ANCAT75","UnfamiliarFlamingo","Informative",19.73,"27","14","1",1,0,"Dance",100,266,-0.504837581921368,0.0159562547622249,0.37593984962406,0.660028465798831
"45","ANCAT88","UnfamiliarFlamingo","Informative",18.44,"27","16","1",1,0,"Dance",211,329,0.579312037911147,0.0131669509531077,0.641337386018237,0.928688896757546
"46","ANCAT74","UnfamiliarFlamingo","Informative",18.87,"25","17","1",1,0,"Dance",58,274,-1.30856379320473,0.0217129547383589,0.211678832116788,0.478091695219893
"47","ANCAT45","UnfamiliarFlamingo","Informative",21.86,"31","19","1",1,0,"Dance",54,117,-0.152839204229448,0.034096655349274,0.461538461538462,0.746898593069036
"48","ANCAT39","UnfamiliarFlamingo","Informative",21.4,"41","24","2",1,0,"Dance",259,300,1.83306327536929,0.0279499500893748,0.863333333333333,1.19212682997948
"49","ANCAT82","UnfamiliarFlamingo","Informative",19.63,"50","29","4",1,0,"Dance",102,144,0.880358722648092,0.0332855093256815,0.708333333333333,1.00028587904971
"50","ANCAT18","UnfamiliarFlamingo","Informative",18.02,"55","35","6",1,0,"Dance",153,199,1.19424825443394,0.028020034324542,0.768844221105528,1.06924471874469
"51","ANCAT139","UnfamiliarFlamingo","Informative",21.86,"47","29","8",1,0,"Dance",65,144,-0.19370687901908,0.0278457919247203,0.451388888888889,0.736710144706889
"52","ANCAT64","UnfamiliarFlamingo","Neutral",18.54,"51","35","1",0,1,"Dance",248,325,1.16516490917738,0.0169273706756669,0.763076923076923,1.06243385785705
"53","ANCAT60","UnfamiliarFlamingo","Informative",21.47,"41","24","1",1,1,"Dance",199,320,0.495899973549315,0.0132429840032179,0.621875,0.908513467615368
"54","ANCAT84","UnfamiliarFlamingo","Informative",21.8,"59","36","5",1,1,"Dance",102,112,2.27848754141499,0.104994192799071,0.910714285714286,1.26735387145655
"55","ANCAT91","UnfamiliarHedgehog","Neutral",18.41,"12","5","0",0,0,"Sleep",179,270,0.673836235646858,0.0164999923893024,0.662962962962963,0.951393647920179
"56","ANCAT86","UnfamiliarHedgehog","Neutral",18.77,"16","6","0",0,0,"Sleep",200,265,1.11876410410542,0.0202547067445889,0.754716981132076,1.05266159768932
"57","ANCAT55","UnfamiliarHedgehog","Neutral",19.63,"13","7","0",0,0,"Sleep",190,311,0.449737931786153,0.0134797965069181,0.610932475884244,0.897261500833439
"58","ANCAT72","UnfamiliarHedgehog","Neutral",18.87,"15","7","0",0,0,"Sleep",60,250,-1.14700882952996,0.0217782694518557,0.24,0.511972688049476
"59","ANCAT79","UnfamiliarHedgehog","Neutral",19.53,"21","11","0",0,0,"Sleep",70,319,-1.26384620537335,0.0181924131951847,0.219435736677116,0.487523877113422
"60","ANCAT90","UnfamiliarHedgehog","Neutral",19.59,"25","14","0",0,0,"Sleep",100,260,-0.46813621507094,0.0161807783512345,0.384615384615385,0.668964074268407
"61","ANCAT85","UnfamiliarHedgehog","Neutral",21.7,"25","14","0",0,0,"Sleep",0,330,-6.49375383985169,2.00302571860817,0,0
"62","ANCAT59","UnfamiliarHedgehog","Informative",18.41,"31","23","0",0,0,"Sleep",221,327,0.732277604335711,0.0139043440477326,0.675840978593272,0.965081779374876
"63","ANCAT81","UnfamiliarHedgehog","Neutral",18.84,"25","16","1",0,0,"Sleep",226,327,0.802686146441247,0.0142672277862961,0.691131498470948,0.981520187668828
"64","ANCAT58","UnfamiliarHedgehog","Neutral",19.3,"28","22","1",0,0,"Sleep",130,253,0.0551320706947163,0.015760001240945,0.513833992094862,0.799233921127435
"65","ANCAT64","UnfamiliarHedgehog","Neutral",18.54,"51","35","1",0,0,"Sleep",101,212,-0.0939657924183315,0.0188208266142393,0.476415094339623,0.761804502934326
"66","ANCAT50","UnfamiliarHedgehog","Neutral",19.4,"45","26","3",0,0,"Sleep",189,311,0.436277994537699,0.0134403101610037,0.607717041800643,0.893966328272751
"67","ANCAT22","UnfamiliarHedgehog","Neutral",20.84,"56","35","3",0,0,"Sleep",195,292,0.695708001421619,0.0153714997704768,0.667808219178082,0.956527937358887
"68","ANCAT23","UnfamiliarHedgehog","Informative",18.25,"7","3","0",1,0,"Sleep",167,329,0.0303053494953288,0.0121239954075775,0.507598784194529,0.792997240132623
"69","ANCAT26","UnfamiliarHedgehog","Informative",18.31,"10","3","0",1,0,"Sleep",82,205,-0.403442862727397,0.020218378113115,0.4,0.684719203002283
"70","ANCAT69","UnfamiliarHedgehog","Informative",19.27,"21","12","1",1,0,"Sleep",120,299,-0.398525454997624,0.0138697858273905,0.40133779264214,0.686084203266569
"71","ANCAT80","UnfamiliarHedgehog","Informative",19.73,"23","12","1",1,0,"Sleep",189,307,0.469476063947295,0.0137158634202821,0.615635179153095,0.902089782734914
"72","ANCAT75","UnfamiliarHedgehog","Informative",19.73,"27","14","1",1,0,"Sleep",56,312,-1.51288802645843,0.0215977505218306,0.179487179487179,0.437481249718776
"73","ANCAT88","UnfamiliarHedgehog","Informative",18.44,"27","16","1",1,0,"Sleep",211,293,0.941426705145697,0.016849344508919,0.720136518771331,1.01334953715857
"74","ANCAT45","UnfamiliarHedgehog","Informative",21.86,"31","19","1",1,0,"Sleep",111,296,-0.509030291147316,0.0143594454449857,0.375,0.659058035826409
"75","ANCAT60","UnfamiliarHedgehog","Informative",21.47,"41","24","1",1,0,"Sleep",217,318,0.762140052046897,0.0144499178981938,0.682389937106918,0.972096351288895
"76","ANCAT39","UnfamiliarHedgehog","Informative",21.4,"41","24","2",1,0,"Sleep",170,330,0.0604413541535009,0.0120956322343118,0.515151515151515,0.800551998380542
"77","ANCAT84","UnfamiliarHedgehog","Informative",21.8,"59","36","5",1,0,"Sleep",207,308,0.715072541188911,0.0146714938572022,0.672077922077922,0.961067942660943
"78","ANCAT18","UnfamiliarHedgehog","Informative",18.02,"55","35","6",1,0,"Sleep",168,329,0.0424306071297052,0.0121266685652865,0.51063829787234,0.796037264081438
"79","ANCAT139","UnfamiliarHedgehog","Informative",21.86,"47","29","8",1,0,"Sleep",132,242,0.181567124468469,0.0165969435669769,0.545454545454545,0.830915552416156
"80","ANCAT77","UnfamiliarHedgehog","Neutral",21.27,"30","17","2",0,1,"Sleep",187,330,0.26744381021079,0.0123019744483159,0.566666666666667,0.852263958102419
"81","ANCAT74","UnfamiliarHedgehog","Informative",18.87,"25","17","1",1,1,"Sleep",184,316,0.331066818054305,0.0129672240118628,0.582278481012658,0.868052580066126
"82","ANCAT91","UnfamiliarLemur","Neutral",18.41,"12","5","0",0,0,"Eat",186,221,1.6588985426025,0.0335309443794132,0.841628959276018,1.16150576004883
"83","ANCAT86","UnfamiliarLemur","Neutral",18.77,"16","6","0",0,0,"Eat",244,326,1.08641701557429,0.0162111916713144,0.748466257668712,1.0454283415728
"84","ANCAT55","UnfamiliarLemur","Neutral",19.63,"13","7","0",0,0,"Eat",131,281,-0.134956232571111,0.0142490810100678,0.466192170818505,0.751564520198057
"85","ANCAT72","UnfamiliarLemur","Neutral",18.87,"15","7","0",0,0,"Eat",249,285,1.92214665460313,0.0314052763060367,0.873684210526316,1.20744437797649
"86","ANCAT53","UnfamiliarLemur","Neutral",18.84,"19","9","0",0,0,"Eat",110,329,-0.686336711557418,0.0136055824116926,0.334346504559271,0.616553931878613
"87","ANCAT76","UnfamiliarLemur","Neutral",18.44,"21","11","0",0,0,"Eat",227,330,0.787578625685581,0.0140574401443967,0.687878787878788,0.978005224228546
"88","ANCAT79","UnfamiliarLemur","Neutral",19.53,"21","11","0",0,0,"Eat",240,319,1.10696306788553,0.0167366205102054,0.752351097178683,1.04991664639336
"89","ANCAT90","UnfamiliarLemur","Neutral",19.59,"25","14","0",0,0,"Eat",220,329,0.699973145630345,0.0136675674836144,0.668693009118541,0.957467521162713
"90","ANCAT85","UnfamiliarLemur","Neutral",21.7,"25","14","0",0,0,"Eat",250,302,1.56264575092734,0.0230396350156829,0.827814569536424,1.14290592565386
"91","ANCAT81","UnfamiliarLemur","Neutral",18.84,"25","16","1",0,0,"Eat",184,256,0.934062901619953,0.0192131576488179,0.71875,1.01180646076991
"92","ANCAT58","UnfamiliarLemur","Neutral",19.3,"28","22","1",0,0,"Eat",257,329,1.26743315824316,0.0176765985939069,0.781155015197568,1.08398649787828
"93","ANCAT64","UnfamiliarLemur","Neutral",18.54,"51","35","1",0,0,"Eat",103,188,0.191055236762709,0.0213577421815408,0.547872340425532,0.833343948507794
"94","ANCAT77","UnfamiliarLemur","Neutral",21.27,"30","17","2",0,0,"Eat",223,320,0.829559036049822,0.014730683187059,0.696875,0.987751964490868
"95","ANCAT50","UnfamiliarLemur","Neutral",19.4,"45","26","3",0,0,"Eat",208,276,1.11310529597068,0.0193947032155298,0.753623188405797,1.05139145282155
"96","ANCAT22","UnfamiliarLemur","Neutral",20.84,"56","35","3",0,0,"Eat",187,305,0.45886588483528,0.0137721518987342,0.613114754098361,0.89950070557934
"97","ANCAT23","UnfamiliarLemur","Informative",18.25,"7","3","0",1,0,"Eat",179,323,0.216895700375847,0.012491445865582,0.554179566563467,0.83968432084669
"98","ANCAT26","UnfamiliarLemur","Informative",18.31,"10","3","0",1,0,"Eat",240,304,1.31605486574409,0.0196618801269964,0.789473684210526,1.09411671520513
"99","ANCAT59","UnfamiliarLemur","Informative",18.41,"31","23","0",1,0,"Eat",302,302,6.40522845803084,2.00330578512397,1,1.5707963267949
"100","ANCAT69","UnfamiliarLemur","Informative",19.27,"21","12","1",1,0,"Eat",235,241,3.58990873655488,0.158092438347215,0.975103734439834,1.41234866472695
