"","ParticipantName","Trial","Target","y","N","elog","wts","Proportion","ArcSin"
"1","ANCAT18","FamiliarBird","Animal",92,257,-0.581762550298738,0.0168531068833184,0.357976653696498,0.641392152898038
"2","ANCAT22","FamiliarBird","Animal",273,317,1.81581243268984,0.0261282172421585,0.861198738170347,1.1890297861074
"3","ANCAT23","FamiliarBird","Animal",243,311,1.26828319725447,0.0187053163266836,0.781350482315113,1.08422291375645
"4","ANCAT26","FamiliarBird","Animal",189,246,1.19260407671918,0.0226683492027074,0.768292682926829,1.06859084620849
"5","ANCAT39","FamiliarBird","Animal",259,315,1.52451606445355,0.021552679591454,0.822222222222222,1.13554641981793
"6","ANCAT45","FamiliarBird","Animal",303,327,2.51670849294887,0.0441112194465925,0.926605504587156,1.29645372202394
"7","ANCAT50","FamiliarBird","Animal",258,288,2.13716901033512,0.03665535719948,0.895833333333333,1.24216425017214
"8","ANCAT53","FamiliarBird","Animal",186,235,1.32645856950923,0.0255639504969264,0.791489361702128,1.0965931970423
"9","ANCAT55","FamiliarBird","Animal",136,169,1.40477917579399,0.037176753594664,0.804733727810651,1.11309251376842
"10","ANCAT58","FamiliarBird","Animal",247,326,1.13565356034846,0.0166190203926053,0.757668711656442,1.0560988307065
"11","ANCAT59","FamiliarBird","Animal",152,324,-0.123232640423948,0.0123544784984557,0.469135802469136,0.754514331385036
"12","ANCAT60","FamiliarBird","Animal",236,319,1.04110157607518,0.0162043777139168,0.739811912225705,1.03551114313103
"13","ANCAT64","FamiliarBird","Animal",154,208,1.0419933946686,0.0248211157625961,0.740384615384615,1.03616404867827
"14","ANCAT69","FamiliarBird","Animal",281,281,6.33327962813969,2.00355239786856,1,1.5707963267949
"15","ANCAT72","FamiliarBird","Animal",275,311,2.02127536800452,0.0310270243393084,0.884244372990354,1.22363613901828
"16","ANCAT74","FamiliarBird","Animal",221,317,0.83087958114025,0.0148773669867484,0.697160883280757,0.988063013153268
"17","ANCAT75","FamiliarBird","Animal",93,190,-0.0418909417091601,0.0209515974221857,0.489473684210526,0.774871069885664
"18","ANCAT77","FamiliarBird","Animal",311,329,2.82362860614323,0.0572643269272483,0.945288753799392,1.33470481993279
"19","ANCAT79","FamiliarBird","Animal",136,193,0.86453966682171,0.0247173116738334,0.704663212435233,0.996256005742627
"20","ANCAT80","FamiliarBird","Animal",143,143,5.65948221575962,2.00696864111498,1,1.5707963267949
"21","ANCAT81","FamiliarBird","Animal",203,233,1.89793932126928,0.0377008901599066,0.871244635193133,1.20378759415412
"22","ANCAT82","FamiliarBird","Animal",193,264,0.995580062769875,0.0191539726423447,0.731060606060606,1.02559098915043
"23","ANCAT84","FamiliarBird","Animal",255,272,2.68102152871429,0.0610567514677104,0.9375,1.31811607165282
"24","ANCAT85","FamiliarBird","Animal",331,331,6.49677499018586,2.00301659125189,1,1.5707963267949
"25","ANCAT86","FamiliarBird","Animal",154,206,1.07938092674022,0.0255201109570042,0.747572815533981,1.04439938586552
"26","ANCAT90","FamiliarBird","Animal",145,311,-0.134819222808951,0.012878858239683,0.466237942122186,0.751610396349702
"27","ANCAT91","FamiliarBird","Animal",135,186,0.967389832650065,0.0267975495288933,0.725806451612903,1.01968429715949
"28","ANCAT139","FamiliarBottle","Artefact",45,169,-1.00659338994786,0.0300101504920782,0.266272189349112,0.542192974474234
"29","ANCAT18","FamiliarBottle","Artefact",0,288,-6.3578422665081,2.00346620450607,0,0
"30","ANCAT22","FamiliarBottle","Artefact",86,323,-1.01002320953686,0.015771219957408,0.26625386996904,0.54217225135424
"31","ANCAT23","FamiliarBottle","Artefact",215,295,0.984703725119285,0.0170627314781456,0.728813559322034,1.02306048091233
"32","ANCAT26","FamiliarBottle","Artefact",173,306,0.26207612154661,0.0132543254649268,0.565359477124183,0.850945224274165
"33","ANCAT39","FamiliarBottle","Artefact",65,307,-1.30895156773633,0.0193908869127253,0.211726384364821,0.478149896549851
"34","ANCAT45","FamiliarBottle","Artefact",73,230,-0.762140052046897,0.0199546485260771,0.317391304347826,0.59846500595115
"35","ANCAT50","FamiliarBottle","Artefact",94,196,-0.0812629640787658,0.0203381081429862,0.479591836734694,0.764984329306597
"36","ANCAT53","FamiliarBottle","Artefact",98,238,-0.355150940595757,0.0172697219863793,0.411764705882353,0.696698361177263
"37","ANCAT55","FamiliarBottle","Artefact",67,284,-1.17007125265025,0.0194125159642401,0.235915492957746,0.507176747844734
"38","ANCAT58","FamiliarBottle","Artefact",33,166,-1.38255603900928,0.0373413829727766,0.198795180722892,0.462139877680442
"39","ANCAT59","FamiliarBottle","Artefact",67,301,-1.24532799000785,0.0190792071389086,0.222591362126246,0.491326502286327
"40","ANCAT60","FamiliarBottle","Artefact",275,326,1.67700582092328,0.0230472397934911,0.843558282208589,1.16415460500738
"41","ANCAT64","FamiliarBottle","Artefact",87,223,-0.444685821261446,0.0187545787545788,0.390134529147982,0.674628831771325
"42","ANCAT69","FamiliarBottle","Artefact",100,224,-0.214147988405632,0.0179823772702751,0.446428571428571,0.731723705346514
"43","ANCAT72","FamiliarBottle","Artefact",153,250,0.45384818902345,0.0167710682368663,0.612,0.898356584185188
"44","ANCAT74","FamiliarBottle","Artefact",48,327,-1.75143849465172,0.0241963742323368,0.146788990825688,0.393183047997136
"45","ANCAT75","FamiliarBottle","Artefact",175,318,0.201304007706245,0.0126666468129883,0.550314465408805,0.835797933666413
"46","ANCAT76","FamiliarBottle","Artefact",117,225,0.0796881606036995,0.0177272281596235,0.52,0.805403500574443
